train/total_loss,train/logvar,train/kl_loss,train/nll_loss,train/rec_loss,train/d_weight,train/disc_factor,train/g_loss,lr,step,total_steps,timestamp,datetime
1712.39209,0.0,146289.0625,1712.24585,0.02613,5000.0,0.0,-0.45044,0.0,48300,150000,2025-08-15 21:21:48,2025-08-15 21:21:48
1283.96106,0.0,154150.71875,1283.80688,0.01959,5000.0,0.0,-0.46702,0.0,48400,150000,2025-08-15 21:22:06,2025-08-15 21:22:06
1310.80774,0.0,151936.4375,1310.65576,0.02,5000.0,0.0,-0.42977,0.0,48500,150000,2025-08-15 21:22:25,2025-08-15 21:22:25
1006.33417,0.0,152149.3125,1006.18201,0.01535,5000.0,0.0,-0.47007,0.0,48600,150000,2025-08-15 21:22:43,2025-08-15 21:22:43
1262.32263,0.0,159091.34375,1262.16357,0.01926,5000.0,0.0,-0.45434,0.0,48700,150000,2025-08-15 21:23:01,2025-08-15 21:23:01
1463.15283,0.0,157083.5625,1462.99573,0.02232,5000.0,0.0,-0.46478,0.0,48800,150000,2025-08-15 21:23:20,2025-08-15 21:23:20
1618.84802,0.0,155495.375,1618.6925,0.0247,5000.0,0.0,-0.42376,0.0,48900,150000,2025-08-15 21:23:38,2025-08-15 21:23:38
911.45526,0.0,155079.32812,911.30017,0.01391,5000.0,0.0,-0.54449,0.0,49000,150000,2025-08-15 21:23:56,2025-08-15 21:23:56
1679.88147,0.0,155649.75,1679.72583,0.02563,5000.0,0.0,-0.48989,0.0,49100,150000,2025-08-15 21:24:15,2025-08-15 21:24:15
1216.16174,0.0,153850.96875,1216.00793,0.01855,5000.0,0.0,-0.4863,0.0,49200,150000,2025-08-15 21:24:34,2025-08-15 21:24:34
1699.32825,0.0,148790.34375,1699.17944,0.02593,5000.0,0.0,-0.42214,0.0,49300,150000,2025-08-15 21:24:52,2025-08-15 21:24:52
941.35413,0.0,157611.8125,941.19653,0.01436,5000.0,0.0,-0.48481,0.0,49400,150000,2025-08-15 21:25:10,2025-08-15 21:25:10
2357.22412,0.0,151364.3125,2357.07275,0.03597,5000.0,0.0,-0.43781,0.0,49500,150000,2025-08-15 21:25:29,2025-08-15 21:25:29
1533.76538,0.0,154917.09375,1533.61047,0.0234,5000.0,0.0,-0.36474,0.0,49600,150000,2025-08-15 21:25:47,2025-08-15 21:25:47
1424.43982,0.0,155145.15625,1424.28467,0.02173,5000.0,0.0,-0.44493,0.0,49700,150000,2025-08-15 21:26:05,2025-08-15 21:26:05
1566.94434,0.0,156971.78125,1566.78735,0.02391,5000.0,0.0,-0.36168,0.0,49800,150000,2025-08-15 21:26:24,2025-08-15 21:26:24
1306.94971,0.0,161570.48438,1306.78809,0.01994,5000.0,0.0,-0.36923,0.0,49900,150000,2025-08-15 21:26:42,2025-08-15 21:26:42
760.93866,0.0,165002.4375,760.77368,0.01161,5000.0,0.0,-0.50733,0.0,50000,150000,2025-08-15 21:27:02,2025-08-15 21:27:02
-1106.87878,0.0,156622.32812,1175.90161,0.01794,5000.0,1.0,-0.45659,0.0,50100,150000,2025-08-15 21:27:21,2025-08-15 21:27:21
-1316.05115,0.0,152462.1875,1257.0127,0.01918,5000.0,1.0,-0.51464,0.0,50200,150000,2025-08-15 21:27:39,2025-08-15 21:27:39
-598.5592,0.0,149298.60938,1696.34448,0.02588,5000.0,1.0,-0.45901,0.0,50300,150000,2025-08-15 21:27:57,2025-08-15 21:27:57
-335.15527,0.0,155491.73438,1747.83984,0.02667,5000.0,1.0,-0.41663,0.0,50400,150000,2025-08-15 21:28:16,2025-08-15 21:28:16
-702.57666,0.0,153108.9375,1523.77637,0.02325,5000.0,1.0,-0.4453,0.0,50500,150000,2025-08-15 21:28:34,2025-08-15 21:28:34
-572.36829,0.0,156813.125,1488.72388,0.02272,5000.0,1.0,-0.41225,0.0,50600,150000,2025-08-15 21:28:52,2025-08-15 21:28:52
-1007.25098,0.0,155159.6875,1335.75134,0.02038,5000.0,1.0,-0.46863,0.0,50700,150000,2025-08-15 21:29:11,2025-08-15 21:29:11
-769.78381,0.0,155906.0,1614.05444,0.02463,5000.0,1.0,-0.4768,0.0,50800,150000,2025-08-15 21:29:29,2025-08-15 21:29:29
-502.22168,0.0,155340.03125,1497.28052,0.02285,5000.0,1.0,-0.39993,0.0,50900,150000,2025-08-15 21:29:47,2025-08-15 21:29:47
-1040.74109,0.0,147068.25,1373.61206,0.02096,5000.0,1.0,-0.4829,0.0,51000,150000,2025-08-15 21:30:06,2025-08-15 21:30:06
-745.80139,0.0,158036.9375,1445.01318,0.02205,5000.0,1.0,-0.43819,0.0,51100,150000,2025-08-15 21:30:24,2025-08-15 21:30:24
142.4679,0.0,152145.03125,2094.91943,0.03197,5000.0,1.0,-0.39052,0.0,51200,150000,2025-08-15 21:30:42,2025-08-15 21:30:42
-536.63379,0.0,158189.89062,1491.22595,0.02275,5000.0,1.0,-0.4056,0.0,51300,150000,2025-08-15 21:31:00,2025-08-15 21:31:00
-1087.72705,0.0,158664.21875,1197.86792,0.01828,5000.0,1.0,-0.45715,0.0,51400,150000,2025-08-15 21:31:19,2025-08-15 21:31:19
-1276.37488,0.0,159219.46875,1109.48499,0.01693,5000.0,1.0,-0.4772,0.0,51500,150000,2025-08-15 21:31:37,2025-08-15 21:31:37
-616.83325,0.0,161725.375,1505.56775,0.02297,5000.0,1.0,-0.42451,0.0,51600,150000,2025-08-15 21:31:56,2025-08-15 21:31:56
-699.53809,0.0,152387.875,1469.93921,0.02243,5000.0,1.0,-0.43393,0.0,51700,150000,2025-08-15 21:32:14,2025-08-15 21:32:14
-1236.35693,0.0,153561.57812,971.69073,0.01483,5000.0,1.0,-0.44164,0.0,51800,150000,2025-08-15 21:32:32,2025-08-15 21:32:32
-1447.01196,0.0,155742.17188,1201.93774,0.01834,5000.0,1.0,-0.52982,0.0,51900,150000,2025-08-15 21:32:51,2025-08-15 21:32:51
-566.63806,0.0,163350.4375,1189.7168,0.01815,5000.0,1.0,-0.3513,0.0,52000,150000,2025-08-15 21:33:09,2025-08-15 21:33:09
-1061.29395,0.0,158768.67188,1359.74866,0.02075,5000.0,1.0,-0.48424,0.0,52100,150000,2025-08-15 21:33:27,2025-08-15 21:33:27
-831.69128,0.0,152886.5625,1573.21716,0.02401,5000.0,1.0,-0.48101,0.0,52200,150000,2025-08-15 21:33:45,2025-08-15 21:33:45
-158.01709,0.0,148291.09375,2078.79785,0.03172,5000.0,1.0,-0.44739,0.0,52300,150000,2025-08-15 21:34:04,2025-08-15 21:34:04
-428.26343,0.0,156392.25,1470.97937,0.02245,5000.0,1.0,-0.37988,0.0,52400,150000,2025-08-15 21:34:22,2025-08-15 21:34:22
-400.53845,0.0,151693.375,1842.31689,0.02811,5000.0,1.0,-0.4486,0.0,52500,150000,2025-08-15 21:34:40,2025-08-15 21:34:40
